exch,day,observed_median_bp,diffusion_bench_bp,diffusion_ratio,names
NSE,2026-08-04,40.52486623478069,21.0510051708902,1.9250798670088864,210
BSE,2026-08-06,12.35798356528539,22.1916689022924,0.5568749074121601,208
NSE,2026-08-11,21.620782769239398,20.04705430145546,1.0785017311830039,210
BSE,2026-08-13,17.87846399858406,21.458761710049387,0.833154505379095,208
NSE,2026-08-18,17.729638769415914,18.25312191103478,0.9713208981909885,210
BSE,2026-08-20,14.666307954369628,20.213898500262175,0.725555634613452,208
NSE,2026-08-25,29.91238173323474,19.746468696381694,1.5148218242543705,210
BSE,2026-08-27,25.74984428013738,21.3303446284884,1.20719307299641,208
NSE,2026-09-01,24.98002655891174,21.135264122959633,1.1819122019760078,210
BSE,2026-09-03,19.40682466911092,22.558649046678198,0.8602831060031324,208
